time,open,high,low,close,tick_volume,spread,real_volume
2025-01-06 12:00:00,1.03556,1.03577,1.03351,1.03351,1953,3,0
2025-01-06 13:00:00,1.0335,1.04321,1.03288,1.04215,4597,3,0
2025-01-06 14:00:00,1.04216,1.04304,1.0392,1.04108,3308,4,0
2025-01-06 15:00:00,1.04114,1.04365,1.04044,1.04168,3670,3,0
2025-01-06 16:00:00,1.04169,1.04237,1.0352999999999999,1.03924,4569,3,0
2025-01-06 17:00:00,1.03924,1.03987,1.03713,1.03932,4212,4,0
2025-01-06 18:00:00,1.03941,1.04025,1.03852,1.03968,2897,4,0
2025-01-06 19:00:00,1.03968,1.03968,1.03792,1.03872,1995,4,0
2025-01-06 20:00:00,1.03872,1.03891,1.0377,1.03818,1904,4,0
2025-01-06 21:00:00,1.03819,1.03916,1.03788,1.03881,1708,4,0
2025-01-06 22:00:00,1.03882,1.03918,1.03857,1.03878,1292,0,0
2025-01-06 23:00:00,1.0388,1.03922,1.03852,1.0386,690,2,0
2025-01-07 00:00:00,1.03864,1.03913,1.03763,1.03885,500,12,0
2025-01-07 01:00:00,1.03878,1.039,1.03815,1.03831,522,4,0
2025-01-07 02:00:00,1.03831,1.03853,1.03771,1.03842,1207,3,0
2025-01-07 03:00:00,1.03837,1.03847,1.03761,1.03812,1454,4,0
2025-01-07 04:00:00,1.03808,1.03829,1.03808,1.03817,70,4,0
2025-01-07 07:00:00,1.03911,1.04031,1.03911,1.03966,1090,4,0
2025-01-07 08:00:00,1.03966,1.0404,1.03963,1.03973,1286,4,0
2025-01-07 09:00:00,1.03977,1.04242,1.03977,1.04145,2388,4,0
2025-01-07 10:00:00,1.04146,1.04223,1.04031,1.04218,2486,4,0
2025-01-07 11:00:00,1.04276,1.0429599999999999,1.04241,1.04267,146,4,0
2025-01-07 12:00:00,1.04264,1.04343,1.04166,1.04279,2218,3,0
2025-01-07 13:00:00,1.04278,1.04283,1.0405,1.04132,1968,4,0
2025-01-07 14:00:00,1.04133,1.04168,1.03871,1.03892,2399,3,0
2025-01-07 15:00:00,1.03892,1.0405,1.03864,1.03966,2476,3,0
2025-01-07 16:00:00,1.03963,1.03975,1.03892,1.03917,2621,3,0
